,T,S,o,c,h,l,v,t,n,vw
0,b,DIS,179.3,179.4491,179.4491,179.3,5156,"Timestamp(seconds=1632151440, nanoseconds=0)",163,179.361016
0,b,DIS,179.41,179.53,179.67,179.35,9990,"Timestamp(seconds=1632151500, nanoseconds=0)",276,179.508483
0,b,DIS,179.51,179.5,179.5735,179.4418,12815,"Timestamp(seconds=1632151560, nanoseconds=0)",295,179.514799
0,b,DIS,179.51,179.5,179.5735,179.4418,12818,"Timestamp(seconds=1632151560, nanoseconds=0)",298,179.514791
0,b,DIS,179.51,179.65,179.65,179.4665,7935,"Timestamp(seconds=1632151740, nanoseconds=0)",238,179.543293
0,b,DIS,179.6353,179.3786,179.65,179.3786,11736,"Timestamp(seconds=1632151800, nanoseconds=0)",312,179.524215
0,b,DIS,179.395,179.43,179.43,179.34,12452,"Timestamp(seconds=1632151860, nanoseconds=0)",323,179.387534
