,T,S,o,c,h,l,v,t,n,vw
0,b,RTX,83.11,83.17,83.17,83.11,4513,"Timestamp(seconds=1632151440, nanoseconds=0)",72,83.143404
0,b,RTX,83.18,83.2,83.225,83.18,10773,"Timestamp(seconds=1632151500, nanoseconds=0)",167,83.205529
0,b,RTX,83.18,83.2,83.21,83.14,7383,"Timestamp(seconds=1632151560, nanoseconds=0)",137,83.174685
0,b,RTX,83.14,83.28,83.29,83.125,7099,"Timestamp(seconds=1632151740, nanoseconds=0)",125,83.193875
0,b,RTX,83.29,83.13,83.29,83.13,12938,"Timestamp(seconds=1632151800, nanoseconds=0)",176,83.228665
0,b,RTX,83.11,83.12,83.13,83.09,10757,"Timestamp(seconds=1632151860, nanoseconds=0)",164,83.107223
