,T,S,o,c,h,l,v,t,n,vw
0,b,QCOM,132.31,132.33,132.37,132.31,116514,"Timestamp(seconds=1632151440, nanoseconds=0)",122,132.349365
0,b,QCOM,132.38,132.405,132.5085,132.37,12580,"Timestamp(seconds=1632151500, nanoseconds=0)",246,132.434273
0,b,QCOM,132.39,132.35,132.46,132.35,10713,"Timestamp(seconds=1632151560, nanoseconds=0)",170,132.417186
0,b,QCOM,132.46,132.76,132.81,132.4192,20489,"Timestamp(seconds=1632151740, nanoseconds=0)",329,132.643493
0,b,QCOM,132.75,132.55,132.8,132.53,19316,"Timestamp(seconds=1632151800, nanoseconds=0)",318,132.695864
0,b,QCOM,132.53,132.61,132.65,132.53,13563,"Timestamp(seconds=1632151860, nanoseconds=0)",220,132.580035
