,T,S,o,c,h,l,v,t,n,vw
0,b,K,63.6,63.6,63.6055,63.6,2400,"Timestamp(seconds=1632151440, nanoseconds=0)",47,63.598431
0,b,K,63.61,63.59,63.62,63.59,3814,"Timestamp(seconds=1632151500, nanoseconds=0)",69,63.604589
0,b,K,63.56,63.57,63.58,63.56,2176,"Timestamp(seconds=1632151560, nanoseconds=0)",38,63.569607
0,b,K,63.54,63.53,63.54,63.51,1733,"Timestamp(seconds=1632151740, nanoseconds=0)",33,63.52471
0,b,K,63.5,63.49,63.519,63.49,1479,"Timestamp(seconds=1632151800, nanoseconds=0)",30,63.499439
0,b,K,63.495,63.48,63.5,63.48,1035,"Timestamp(seconds=1632151860, nanoseconds=0)",17,63.497176
