,T,S,o,c,h,l,v,t,n,vw
0,b,SJM,122.99,122.98,122.99,122.96,2265,"Timestamp(seconds=1632151500, nanoseconds=0)",40,122.985865
0,b,SJM,122.94,122.95,123.01,122.94,1471,"Timestamp(seconds=1632151560, nanoseconds=0)",26,122.972961
0,b,SJM,122.825,122.82,122.89,122.8,2081,"Timestamp(seconds=1632151740, nanoseconds=0)",36,122.844618
0,b,SJM,122.75,122.81,122.81,122.7,2289,"Timestamp(seconds=1632151800, nanoseconds=0)",53,122.75147
0,b,SJM,122.85,122.85,122.85,122.85,404,"Timestamp(seconds=1632151860, nanoseconds=0)",13,122.843446
