,T,S,o,c,h,l,v,t,n,vw
0,b,ANTM,376.0,376.0,376.0,376.0,276,"Timestamp(seconds=1632151440, nanoseconds=0)",11,375.995598
0,b,ANTM,376.11,376.13,376.28,376.11,1992,"Timestamp(seconds=1632151500, nanoseconds=0)",59,376.189533
0,b,ANTM,376.09,376.09,376.255,375.98,1223,"Timestamp(seconds=1632151560, nanoseconds=0)",27,376.114247
0,b,ANTM,376.12,376.25,376.25,375.9,1655,"Timestamp(seconds=1632151740, nanoseconds=0)",41,376.093179
0,b,ANTM,375.9662,375.745,376.0,375.745,2140,"Timestamp(seconds=1632151800, nanoseconds=0)",59,375.889871
0,b,ANTM,375.6,375.76,375.76,375.6,908,"Timestamp(seconds=1632151860, nanoseconds=0)",44,375.737929
