,T,S,o,c,h,l,v,t,n,vw
0,b,KR,40.765,40.785,40.79,40.765,7444,"Timestamp(seconds=1632151440, nanoseconds=0)",81,40.779697
0,b,KR,40.7824,40.75,40.785,40.75,18652,"Timestamp(seconds=1632151500, nanoseconds=0)",203,40.776028
0,b,KR,40.745,40.755,40.765,40.74,13593,"Timestamp(seconds=1632151560, nanoseconds=0)",165,40.753917
0,b,KR,40.74,40.75,40.75,40.72,7624,"Timestamp(seconds=1632151740, nanoseconds=0)",109,40.734111
0,b,KR,40.745,40.71,40.745,40.6959,13460,"Timestamp(seconds=1632151800, nanoseconds=0)",152,40.720775
0,b,KR,40.72,40.725,40.73,40.72,1955,"Timestamp(seconds=1632151860, nanoseconds=0)",41,40.721003
