,T,S,o,c,h,l,v,t,n,vw
0,b,CSCO,55.9326,55.945,55.955,55.93,39170,"Timestamp(seconds=1632151440, nanoseconds=0)",351,55.939257
0,b,CSCO,55.94,55.94,55.97,55.935,22781,"Timestamp(seconds=1632151500, nanoseconds=0)",288,55.952697
0,b,CSCO,55.9401,55.94,55.96,55.93,23396,"Timestamp(seconds=1632151560, nanoseconds=0)",228,55.947083
0,b,CSCO,55.92,55.99,55.99,55.895,53057,"Timestamp(seconds=1632151740, nanoseconds=0)",656,55.931409
0,b,CSCO,55.92,55.99,55.99,55.895,53128,"Timestamp(seconds=1632151740, nanoseconds=0)",657,55.931487
0,b,CSCO,55.983,55.925,56.0,55.925,38659,"Timestamp(seconds=1632151800, nanoseconds=0)",443,55.967895
0,b,CSCO,55.92,55.935,55.96,55.915,26950,"Timestamp(seconds=1632151860, nanoseconds=0)",254,55.932702
0,b,CSCO,55.92,55.935,55.96,55.915,27070,"Timestamp(seconds=1632151860, nanoseconds=0)",255,55.932712
