,T,S,o,c,h,l,v,t,n,vw
0,b,CINF,113.64,113.64,113.7,113.64,791,"Timestamp(seconds=1632151440, nanoseconds=0)",37,113.683631
0,b,CINF,113.66,113.86,113.86,113.66,682,"Timestamp(seconds=1632151500, nanoseconds=0)",18,113.764637
0,b,CINF,113.75,113.81,113.81,113.74,892,"Timestamp(seconds=1632151560, nanoseconds=0)",43,113.756785
0,b,CINF,113.68,113.68,113.74,113.64,554,"Timestamp(seconds=1632151740, nanoseconds=0)",20,113.686441
0,b,CINF,113.69,113.73,113.73,113.69,543,"Timestamp(seconds=1632151800, nanoseconds=0)",30,113.63479
0,b,CINF,113.555,113.58,113.58,113.525,1079,"Timestamp(seconds=1632151860, nanoseconds=0)",43,113.549957
