,T,S,o,c,h,l,v,t,n,vw
0,b,PH,283.31,283.31,283.31,283.31,396,"Timestamp(seconds=1632151440, nanoseconds=0)",21,283.273889
0,b,PH,283.4,283.38,283.53,283.32,2499,"Timestamp(seconds=1632151500, nanoseconds=0)",82,283.433414
0,b,PH,283.32,283.3096,283.41,283.3096,811,"Timestamp(seconds=1632151560, nanoseconds=0)",35,283.340799
0,b,PH,283.32,283.3096,283.41,283.3096,812,"Timestamp(seconds=1632151560, nanoseconds=0)",36,283.340737
0,b,PH,283.28,283.46,283.495,283.28,1514,"Timestamp(seconds=1632151740, nanoseconds=0)",58,283.39517
0,b,PH,283.37,283.34,283.37,283.33,1539,"Timestamp(seconds=1632151800, nanoseconds=0)",54,283.385654
0,b,PH,283.04,283.03,283.04,283.03,650,"Timestamp(seconds=1632151860, nanoseconds=0)",37,283.036569
