,T,S,o,c,h,l,v,t,n,vw
0,b,PRU,98.71,98.77,98.7863,98.71,6273,"Timestamp(seconds=1632151440, nanoseconds=0)",131,98.757938
0,b,PRU,98.77,98.75,98.84,98.75,15475,"Timestamp(seconds=1632151500, nanoseconds=0)",232,98.794559
0,b,PRU,98.74,98.81,98.87,98.69,9909,"Timestamp(seconds=1632151560, nanoseconds=0)",174,98.795599
0,b,PRU,98.71,98.82,98.86,98.68,7566,"Timestamp(seconds=1632151740, nanoseconds=0)",158,98.76238
0,b,PRU,98.805,98.57,98.82,98.57,13234,"Timestamp(seconds=1632151800, nanoseconds=0)",215,98.722545
0,b,PRU,98.5588,98.57,98.6152,98.5,18126,"Timestamp(seconds=1632151860, nanoseconds=0)",283,98.548712
