,T,S,o,c,h,l,v,t,n,vw
0,b,MKTX,429.425,429.425,429.425,429.425,283,"Timestamp(seconds=1632151500, nanoseconds=0)",19,429.581237
0,b,MKTX,430.2,430.2,430.2,430.2,320,"Timestamp(seconds=1632151560, nanoseconds=0)",14,430.276625
0,b,MKTX,429.63,429.84,429.84,429.63,656,"Timestamp(seconds=1632151740, nanoseconds=0)",34,429.680488
0,b,MKTX,429.3,429.21,429.3,429.21,446,"Timestamp(seconds=1632151800, nanoseconds=0)",32,429.199664
0,b,MKTX,429.03,429.03,429.03,429.03,351,"Timestamp(seconds=1632151860, nanoseconds=0)",20,429.065443
