,T,S,o,c,h,l,v,t,n,vw
0,b,BBWI,64.385,64.34,64.385,64.34,1357,"Timestamp(seconds=1632151440, nanoseconds=0)",17,64.393528
0,b,BBWI,64.36,64.42,64.42,64.355,3658,"Timestamp(seconds=1632151500, nanoseconds=0)",64,64.379081
0,b,BBWI,64.35,64.36,64.4,64.33,3422,"Timestamp(seconds=1632151560, nanoseconds=0)",43,64.363442
0,b,BBWI,64.25,64.265,64.28,64.195,4314,"Timestamp(seconds=1632151740, nanoseconds=0)",85,64.241662
0,b,BBWI,64.24,64.045,64.24,64.045,2666,"Timestamp(seconds=1632151800, nanoseconds=0)",62,64.154298
0,b,BBWI,64.03,63.925,64.03,63.845,7008,"Timestamp(seconds=1632151860, nanoseconds=0)",103,63.933011
