,T,S,o,c,h,l,v,t,n,vw
0,b,ORCL,86.665,86.69,86.7,86.65,15701,"Timestamp(seconds=1632151440, nanoseconds=0)",230,86.67779
0,b,ORCL,86.665,86.69,86.7,86.65,16001,"Timestamp(seconds=1632151440, nanoseconds=0)",233,86.678018
0,b,ORCL,86.68,86.65,86.695,86.63,29213,"Timestamp(seconds=1632151500, nanoseconds=0)",387,86.669483
0,b,ORCL,86.65,86.63,86.67,86.62,8396,"Timestamp(seconds=1632151560, nanoseconds=0)",143,86.643388
0,b,ORCL,86.61,86.68,86.69,86.61,19161,"Timestamp(seconds=1632151740, nanoseconds=0)",290,86.654822
0,b,ORCL,86.68,86.58,86.695,86.5501,20182,"Timestamp(seconds=1632151800, nanoseconds=0)",255,86.625461
0,b,ORCL,86.58,86.56,86.58,86.51,18218,"Timestamp(seconds=1632151860, nanoseconds=0)",235,86.547554
