,T,S,o,c,h,l,v,t,n,vw
0,b,BLL,92.65,92.62,92.67,92.62,4172,"Timestamp(seconds=1632151440, nanoseconds=0)",64,92.65029
0,b,BLL,92.64,92.63,92.64,92.63,767,"Timestamp(seconds=1632151500, nanoseconds=0)",21,92.629231
0,b,BLL,92.65,92.665,92.665,92.65,225,"Timestamp(seconds=1632151560, nanoseconds=0)",8,92.658149
0,b,BLL,92.64,92.69,92.7,92.64,5553,"Timestamp(seconds=1632151740, nanoseconds=0)",99,92.674644
0,b,BLL,92.65,92.63,92.66,92.61,1402,"Timestamp(seconds=1632151800, nanoseconds=0)",21,92.635209
0,b,BLL,92.605,92.56,92.605,92.54,7578,"Timestamp(seconds=1632151860, nanoseconds=0)",66,92.566297
