,T,S,o,c,h,l,v,t,n,vw
0,b,TER,117.11,117.05,117.12,117.01,2472,"Timestamp(seconds=1632151440, nanoseconds=0)",70,117.06381
0,b,TER,117.09,117.08,117.21,117.08,3243,"Timestamp(seconds=1632151500, nanoseconds=0)",69,117.143025
0,b,TER,117.05,117.05,117.05,117.05,465,"Timestamp(seconds=1632151560, nanoseconds=0)",28,117.043949
0,b,TER,116.99,117.16,117.22,116.98,2957,"Timestamp(seconds=1632151740, nanoseconds=0)",72,117.108093
0,b,TER,117.15,116.97,117.2,116.97,2989,"Timestamp(seconds=1632151800, nanoseconds=0)",60,117.095182
0,b,TER,116.98,117.01,117.01,116.98,1345,"Timestamp(seconds=1632151860, nanoseconds=0)",43,116.995679
