,T,S,o,c,h,l,v,t,n,vw
0,b,ROST,112.82,112.9,112.91,112.82,1064,"Timestamp(seconds=1632151440, nanoseconds=0)",33,112.875802
0,b,ROST,112.87,113.0,113.0,112.865,1679,"Timestamp(seconds=1632151500, nanoseconds=0)",50,112.927047
0,b,ROST,112.93,112.9,112.95,112.9,1027,"Timestamp(seconds=1632151560, nanoseconds=0)",42,112.92573
0,b,ROST,112.75,112.8,112.8,112.75,991,"Timestamp(seconds=1632151740, nanoseconds=0)",39,112.770429
0,b,ROST,112.8,112.77,112.8,112.76,1321,"Timestamp(seconds=1632151800, nanoseconds=0)",41,112.742379
0,b,ROST,112.52,112.51,112.57,112.49,3207,"Timestamp(seconds=1632151860, nanoseconds=0)",74,112.525417
