,T,S,o,c,h,l,v,t,n,vw
0,b,TTWO,148.78,148.68,148.84,148.62,1917,"Timestamp(seconds=1632151440, nanoseconds=0)",70,148.715699
0,b,TTWO,148.73,148.67,148.75,148.67,1590,"Timestamp(seconds=1632151500, nanoseconds=0)",42,148.710314
0,b,TTWO,148.69,148.64,148.69,148.6,719,"Timestamp(seconds=1632151560, nanoseconds=0)",29,148.627677
0,b,TTWO,148.57,148.6,148.67,148.46,1426,"Timestamp(seconds=1632151740, nanoseconds=0)",33,148.578445
0,b,TTWO,148.62,148.42,148.7,148.42,857,"Timestamp(seconds=1632151800, nanoseconds=0)",38,148.598956
0,b,TTWO,148.42,148.47,148.47,148.37,1195,"Timestamp(seconds=1632151860, nanoseconds=0)",55,148.413727
