,T,S,o,c,h,l,v,t,n,vw
0,b,CTSH,74.87,74.88,74.885,74.87,434,"Timestamp(seconds=1632151440, nanoseconds=0)",11,74.876518
0,b,CTSH,74.89,74.91,74.92,74.89,3337,"Timestamp(seconds=1632151500, nanoseconds=0)",66,74.910774
0,b,CTSH,74.915,74.91,74.915,74.91,871,"Timestamp(seconds=1632151560, nanoseconds=0)",22,74.912034
0,b,CTSH,74.9,74.93,74.94,74.87,4149,"Timestamp(seconds=1632151740, nanoseconds=0)",79,74.915272
0,b,CTSH,74.92,74.83,74.93,74.83,4583,"Timestamp(seconds=1632151800, nanoseconds=0)",86,74.887129
0,b,CTSH,74.82,74.84,74.845,74.82,2021,"Timestamp(seconds=1632151860, nanoseconds=0)",44,74.830124
