,T,S,o,c,h,l,v,t,n,vw
0,b,MGM,41.635,41.67,41.67,41.63,8304,"Timestamp(seconds=1632151440, nanoseconds=0)",90,41.647353
0,b,MGM,41.67,41.66,41.69,41.648,12585,"Timestamp(seconds=1632151500, nanoseconds=0)",176,41.668551
0,b,MGM,41.65,41.7,41.72,41.65,6911,"Timestamp(seconds=1632151560, nanoseconds=0)",92,41.69885
0,b,MGM,41.67,41.7429,41.7429,41.65,13890,"Timestamp(seconds=1632151740, nanoseconds=0)",114,41.672802
0,b,MGM,41.74,41.64,41.74,41.64,11940,"Timestamp(seconds=1632151800, nanoseconds=0)",175,41.704322
0,b,MGM,41.61,41.64,41.64,41.57,13952,"Timestamp(seconds=1632151860, nanoseconds=0)",195,41.611653
