,T,S,o,c,h,l,v,t,n,vw
0,b,MTB,131.95,131.95,131.95,131.95,2467,"Timestamp(seconds=1632151440, nanoseconds=0)",86,131.952237
0,b,MTB,132.08,132.12,132.12,132.02,1181,"Timestamp(seconds=1632151500, nanoseconds=0)",36,132.073774
0,b,MTB,132.04,132.115,132.115,131.985,1541,"Timestamp(seconds=1632151560, nanoseconds=0)",47,132.027992
0,b,MTB,131.912,132.11,132.11,131.91,2437,"Timestamp(seconds=1632151740, nanoseconds=0)",70,131.956064
0,b,MTB,132.02,131.72,132.02,131.72,1702,"Timestamp(seconds=1632151800, nanoseconds=0)",47,131.879864
0,b,MTB,131.69,131.77,131.775,131.69,1493,"Timestamp(seconds=1632151860, nanoseconds=0)",28,131.725782
