,T,S,o,c,h,l,v,t,n,vw
0,b,UPS,188.2103,188.1692,188.2103,188.1692,601,"Timestamp(seconds=1632151440, nanoseconds=0)",26,188.190086
0,b,UPS,188.195,188.23,188.26,188.17,5433,"Timestamp(seconds=1632151500, nanoseconds=0)",105,188.215533
0,b,UPS,188.235,188.29,188.29,188.15,4777,"Timestamp(seconds=1632151560, nanoseconds=0)",86,188.229675
0,b,UPS,188.32,188.49,188.49,188.29,4000,"Timestamp(seconds=1632151740, nanoseconds=0)",103,188.347702
0,b,UPS,188.53,188.3221,188.59,188.3221,9062,"Timestamp(seconds=1632151800, nanoseconds=0)",241,188.528005
0,b,UPS,188.3689,188.42,188.55,188.33,6522,"Timestamp(seconds=1632151860, nanoseconds=0)",132,188.424444
