,T,S,o,c,h,l,v,t,n,vw
0,b,CRM,257.47,257.49,257.56,257.445,2680,"Timestamp(seconds=1632151440, nanoseconds=0)",99,257.490382
0,b,CRM,257.56,257.745,257.83,257.56,3134,"Timestamp(seconds=1632151500, nanoseconds=0)",105,257.689856
0,b,CRM,257.68,257.68,257.74,257.66,5272,"Timestamp(seconds=1632151560, nanoseconds=0)",173,257.698669
0,b,CRM,257.68,257.68,257.74,257.66,5273,"Timestamp(seconds=1632151560, nanoseconds=0)",174,257.698648
0,b,CRM,257.71,257.95,257.96,257.64,9775,"Timestamp(seconds=1632151740, nanoseconds=0)",239,257.858685
0,b,CRM,257.96,257.68,258.02,257.68,14148,"Timestamp(seconds=1632151800, nanoseconds=0)",260,257.819558
0,b,CRM,257.62,257.78,257.78,257.59,3416,"Timestamp(seconds=1632151860, nanoseconds=0)",115,257.68296
