,T,S,o,c,h,l,v,t,n,vw
0,b,HON,216.665,216.63,216.73,216.6,6634,"Timestamp(seconds=1632151440, nanoseconds=0)",107,216.670812
0,b,HON,216.66,216.57,216.7,216.57,5303,"Timestamp(seconds=1632151500, nanoseconds=0)",156,216.623569
0,b,HON,216.49,216.55,216.56,216.47,5205,"Timestamp(seconds=1632151560, nanoseconds=0)",157,216.523863
0,b,HON,216.49,216.58,216.62,216.49,9633,"Timestamp(seconds=1632151740, nanoseconds=0)",175,216.556039
0,b,HON,216.54,216.41,216.5627,216.39,6087,"Timestamp(seconds=1632151800, nanoseconds=0)",211,216.503919
0,b,HON,216.33,216.27,216.33,216.22,5939,"Timestamp(seconds=1632151860, nanoseconds=0)",145,216.2801
0,b,HON,216.33,216.27,216.33,216.22,5964,"Timestamp(seconds=1632151860, nanoseconds=0)",146,216.280016
