,T,S,o,c,h,l,v,t,n,vw
0,b,CL,76.71,76.71,76.715,76.7,3492,"Timestamp(seconds=1632151440, nanoseconds=0)",54,76.709373
0,b,CL,76.71,76.67,76.74,76.67,8795,"Timestamp(seconds=1632151500, nanoseconds=0)",101,76.725604
0,b,CL,76.68,76.7,76.71,76.68,3439,"Timestamp(seconds=1632151560, nanoseconds=0)",89,76.695831
0,b,CL,76.66,76.68,76.68,76.65,7484,"Timestamp(seconds=1632151740, nanoseconds=0)",134,76.666292
0,b,CL,76.68,76.64,76.68,76.62,13432,"Timestamp(seconds=1632151800, nanoseconds=0)",118,76.639567
0,b,CL,76.65,76.665,76.67,76.65,7316,"Timestamp(seconds=1632151860, nanoseconds=0)",59,76.664468
