,T,S,o,c,h,l,v,t,n,vw
0,b,DPZ,501.37,501.37,501.37,501.37,183,"Timestamp(seconds=1632151500, nanoseconds=0)",18,501.41073
0,b,DPZ,501.8,501.8,501.8,501.8,381,"Timestamp(seconds=1632151560, nanoseconds=0)",25,501.760098
0,b,DPZ,501.24,501.24,501.24,501.24,505,"Timestamp(seconds=1632151740, nanoseconds=0)",41,501.174733
0,b,DPZ,501.0,501.08,501.15,500.98,1123,"Timestamp(seconds=1632151800, nanoseconds=0)",50,501.007124
0,b,DPZ,501.0,501.105,501.105,501.0,554,"Timestamp(seconds=1632151860, nanoseconds=0)",29,501.009765
