,T,S,o,c,h,l,v,t,n,vw
0,b,HPE,13.21,13.215,13.22,13.205,21578,"Timestamp(seconds=1632151440, nanoseconds=0)",130,13.210879
0,b,HPE,13.215,13.21,13.22,13.21,25505,"Timestamp(seconds=1632151500, nanoseconds=0)",130,13.219276
0,b,HPE,13.21,13.215,13.2164,13.21,4241,"Timestamp(seconds=1632151560, nanoseconds=0)",40,13.212831
0,b,HPE,13.21,13.225,13.23,13.2,24517,"Timestamp(seconds=1632151740, nanoseconds=0)",126,13.212541
0,b,HPE,13.22,13.195,13.2263,13.195,32986,"Timestamp(seconds=1632151800, nanoseconds=0)",119,13.21047
0,b,HPE,13.195,13.195,13.2,13.1942,32013,"Timestamp(seconds=1632151860, nanoseconds=0)",117,13.199081
