,T,S,o,c,h,l,v,t,n,vw
0,b,TJX,69.365,69.36,69.42,69.35,21663,"Timestamp(seconds=1632151440, nanoseconds=0)",272,69.382464
0,b,TJX,69.35,69.37,69.42,69.31,7180,"Timestamp(seconds=1632151500, nanoseconds=0)",106,69.36901
0,b,TJX,69.34,69.32,69.37,69.32,3960,"Timestamp(seconds=1632151560, nanoseconds=0)",75,69.361548
0,b,TJX,69.27,69.3,69.3,69.245,6155,"Timestamp(seconds=1632151740, nanoseconds=0)",95,69.271699
0,b,TJX,69.28,69.2,69.35,69.19,43101,"Timestamp(seconds=1632151800, nanoseconds=0)",421,69.300447
0,b,TJX,69.18,69.165,69.18,69.13,5269,"Timestamp(seconds=1632151860, nanoseconds=0)",89,69.153151
