,T,S,o,c,h,l,v,t,n,vw
0,b,QRVO,170.5947,170.6,170.6,170.55,1898,"Timestamp(seconds=1632151440, nanoseconds=0)",64,170.576815
0,b,QRVO,170.61,170.84,170.84,170.61,1475,"Timestamp(seconds=1632151500, nanoseconds=0)",60,170.740394
0,b,QRVO,170.9,171.0,171.0,170.73,3020,"Timestamp(seconds=1632151740, nanoseconds=0)",92,170.907606
0,b,QRVO,170.96,170.93,170.97,170.88,2417,"Timestamp(seconds=1632151800, nanoseconds=0)",70,170.942213
0,b,QRVO,170.85,170.92,170.92,170.77,829,"Timestamp(seconds=1632151860, nanoseconds=0)",41,170.870117
