,T,S,o,c,h,l,v,t,n,vw
0,b,XYL,130.67,130.73,130.73,130.67,982,"Timestamp(seconds=1632151440, nanoseconds=0)",41,130.693585
0,b,XYL,130.74,130.73,130.77,130.73,1453,"Timestamp(seconds=1632151500, nanoseconds=0)",47,130.75516
0,b,XYL,130.7,130.79,130.79,130.68,1084,"Timestamp(seconds=1632151560, nanoseconds=0)",46,130.719532
0,b,XYL,130.81,131.0,131.0,130.77,2035,"Timestamp(seconds=1632151740, nanoseconds=0)",68,130.88441
0,b,XYL,130.81,131.0,131.0,130.77,2055,"Timestamp(seconds=1632151740, nanoseconds=0)",69,130.885827
0,b,XYL,131.03,130.8,131.03,130.8,1402,"Timestamp(seconds=1632151800, nanoseconds=0)",53,130.904042
0,b,XYL,130.79,130.77,130.79,130.71,880,"Timestamp(seconds=1632151860, nanoseconds=0)",43,130.769452
