,T,S,o,c,h,l,v,t,n,vw
0,b,COST,455.385,455.71,455.71,455.2,3110,"Timestamp(seconds=1632151440, nanoseconds=0)",126,455.569782
0,b,COST,455.69,455.7019,455.775,455.69,1892,"Timestamp(seconds=1632151500, nanoseconds=0)",124,455.721913
0,b,COST,455.69,455.55,455.69,455.535,2572,"Timestamp(seconds=1632151560, nanoseconds=0)",107,455.587904
0,b,COST,455.26,455.59,455.6,455.17,2750,"Timestamp(seconds=1632151740, nanoseconds=0)",143,455.342431
0,b,COST,455.45,455.3538,455.58,455.33,4403,"Timestamp(seconds=1632151800, nanoseconds=0)",166,455.453579
0,b,COST,455.51,455.75,455.84,455.51,2677,"Timestamp(seconds=1632151860, nanoseconds=0)",137,455.669109
