,T,S,o,c,h,l,v,t,n,vw
0,b,DOW,56.18,56.218,56.22,56.17,16213,"Timestamp(seconds=1632151440, nanoseconds=0)",135,56.194758
0,b,DOW,56.2122,56.21,56.24,56.2,7725,"Timestamp(seconds=1632151500, nanoseconds=0)",112,56.220589
0,b,DOW,56.18,56.1999,56.21,56.18,4599,"Timestamp(seconds=1632151560, nanoseconds=0)",88,56.195064
0,b,DOW,56.1,56.23,56.235,56.1,12071,"Timestamp(seconds=1632151740, nanoseconds=0)",186,56.156759
0,b,DOW,56.22,56.085,56.225,56.085,16643,"Timestamp(seconds=1632151800, nanoseconds=0)",203,56.157373
0,b,DOW,56.07,56.1,56.12,56.03,19567,"Timestamp(seconds=1632151860, nanoseconds=0)",257,56.068829
