,T,S,o,c,h,l,v,t,n,vw
0,b,NOW,646.825,646.825,646.825,646.825,480,"Timestamp(seconds=1632151440, nanoseconds=0)",23,646.81902
0,b,NOW,647.0,648.06,648.06,647.0,1764,"Timestamp(seconds=1632151500, nanoseconds=0)",57,647.356958
0,b,NOW,647.84,647.47,647.84,647.47,1393,"Timestamp(seconds=1632151560, nanoseconds=0)",60,647.718191
0,b,NOW,648.53,648.82,648.82,648.53,2216,"Timestamp(seconds=1632151740, nanoseconds=0)",65,648.544851
0,b,NOW,648.67,647.5301,648.7393,647.5301,2029,"Timestamp(seconds=1632151800, nanoseconds=0)",82,648.152676
0,b,NOW,647.56,648.37,648.37,647.56,1446,"Timestamp(seconds=1632151860, nanoseconds=0)",60,647.803717
