,T,S,o,c,h,l,v,t,n,vw
0,b,VRSN,216.32,216.32,216.32,216.32,564,"Timestamp(seconds=1632151440, nanoseconds=0)",24,216.276471
0,b,VRSN,216.455,216.455,216.455,216.455,382,"Timestamp(seconds=1632151500, nanoseconds=0)",21,216.445002
0,b,VRSN,216.41,216.48,216.48,216.41,656,"Timestamp(seconds=1632151560, nanoseconds=0)",19,216.458918
0,b,VRSN,216.58,216.605,216.64,216.57,812,"Timestamp(seconds=1632151740, nanoseconds=0)",29,216.587579
0,b,VRSN,216.6,216.43,216.6,216.29,1244,"Timestamp(seconds=1632151800, nanoseconds=0)",37,216.454689
0,b,VRSN,216.205,216.205,216.205,216.205,428,"Timestamp(seconds=1632151860, nanoseconds=0)",21,216.263176
