,T,S,o,c,h,l,v,t,n,vw
0,b,BKNG,2334.89,2334.65,2334.89,2334.65,273,"Timestamp(seconds=1632151440, nanoseconds=0)",10,2334.643938
0,b,BKNG,2334.31,2334.31,2334.31,2334.31,372,"Timestamp(seconds=1632151500, nanoseconds=0)",38,2335.218879
0,b,BKNG,2335.15,2336.78,2336.78,2335.15,1616,"Timestamp(seconds=1632151740, nanoseconds=0)",50,2335.411071
0,b,BKNG,2332.36,2328.8475,2332.36,2328.675,1089,"Timestamp(seconds=1632151800, nanoseconds=0)",68,2331.389433
0,b,BKNG,2328.9275,2328.9275,2328.9275,2328.9275,338,"Timestamp(seconds=1632151860, nanoseconds=0)",29,2329.017456
