,T,S,o,c,h,l,v,t,n,vw
0,b,VRSK,201.5,201.59,201.59,201.5,1180,"Timestamp(seconds=1632151440, nanoseconds=0)",43,201.53926
0,b,VRSK,201.63,201.66,201.66,201.63,674,"Timestamp(seconds=1632151500, nanoseconds=0)",29,201.646165
0,b,VRSK,201.78,201.78,201.78,201.78,219,"Timestamp(seconds=1632151740, nanoseconds=0)",15,201.723425
0,b,VRSK,201.61,201.6,201.61,201.575,2624,"Timestamp(seconds=1632151800, nanoseconds=0)",47,201.610166
0,b,VRSK,201.615,201.61,201.615,201.55,7654,"Timestamp(seconds=1632151860, nanoseconds=0)",16,201.611306
