,T,S,o,c,h,l,v,t,n,vw
0,b,TSLA,730.2,729.7,730.33,729.69,26315,"Timestamp(seconds=1632151440, nanoseconds=0)",921,729.965771
0,b,TSLA,729.72,729.3672,730.07,729.3672,25146,"Timestamp(seconds=1632151500, nanoseconds=0)",824,729.718439
0,b,TSLA,729.3,729.2368,729.52,729.2368,22610,"Timestamp(seconds=1632151560, nanoseconds=0)",757,729.373961
0,b,TSLA,729.69,730.83,730.85,729.5701,45997,"Timestamp(seconds=1632151740, nanoseconds=0)",1103,730.195846
0,b,TSLA,730.726,729.3201,731.2599,729.3201,45112,"Timestamp(seconds=1632151800, nanoseconds=0)",1238,730.739865
0,b,TSLA,730.726,729.3201,731.2599,729.3201,45113,"Timestamp(seconds=1632151800, nanoseconds=0)",1239,730.739837
0,b,TSLA,729.29,729.2548,729.67,728.77,34038,"Timestamp(seconds=1632151860, nanoseconds=0)",856,729.288451
