,T,S,o,c,h,l,v,t,n,vw
0,b,NWL,24.1,24.1,24.1061,24.095,2643,"Timestamp(seconds=1632151440, nanoseconds=0)",30,24.101936
0,b,NWL,24.1,24.0999,24.11,24.09,3777,"Timestamp(seconds=1632151500, nanoseconds=0)",38,24.104538
0,b,NWL,24.095,24.09,24.105,24.0801,3951,"Timestamp(seconds=1632151560, nanoseconds=0)",39,24.092151
0,b,NWL,24.08,24.11,24.11,24.075,6415,"Timestamp(seconds=1632151740, nanoseconds=0)",73,24.087448
0,b,NWL,24.11,24.08,24.13,24.075,8170,"Timestamp(seconds=1632151800, nanoseconds=0)",64,24.104813
0,b,NWL,24.085,24.08,24.085,24.075,2232,"Timestamp(seconds=1632151860, nanoseconds=0)",36,24.081675
