,T,S,o,c,h,l,v,t,n,vw
0,b,EVRG,65.13,65.2,65.2,65.13,999,"Timestamp(seconds=1632151440, nanoseconds=0)",29,65.146682
0,b,EVRG,65.18,65.12,65.189,65.12,2311,"Timestamp(seconds=1632151500, nanoseconds=0)",42,65.167319
0,b,EVRG,65.13,65.15,65.15,65.13,465,"Timestamp(seconds=1632151560, nanoseconds=0)",10,65.14206
0,b,EVRG,65.08,65.07,65.11,65.05,34625,"Timestamp(seconds=1632151740, nanoseconds=0)",162,65.065846
0,b,EVRG,65.06,65.03,65.06,65.01,1994,"Timestamp(seconds=1632151800, nanoseconds=0)",46,65.03551
0,b,EVRG,65.01,65.01,65.01,65.01,281,"Timestamp(seconds=1632151860, nanoseconds=0)",16,65.015227
