,T,S,o,c,h,l,v,t,n,vw
0,b,BWA,40.9,40.92,40.92,40.88,1524,"Timestamp(seconds=1632151440, nanoseconds=0)",27,40.897018
0,b,BWA,40.92,40.9,40.96,40.9,3942,"Timestamp(seconds=1632151500, nanoseconds=0)",66,40.937982
0,b,BWA,40.881,40.95,40.98,40.881,35768,"Timestamp(seconds=1632151560, nanoseconds=0)",98,40.921366
0,b,BWA,40.93,40.96,40.98,40.9,3815,"Timestamp(seconds=1632151740, nanoseconds=0)",58,40.93828
0,b,BWA,41.0,40.83,41.0,40.83,1303,"Timestamp(seconds=1632151800, nanoseconds=0)",38,40.928126
0,b,BWA,40.82,40.845,40.855,40.795,5573,"Timestamp(seconds=1632151860, nanoseconds=0)",89,40.817303
