,T,S,o,c,h,l,v,t,n,vw
0,b,CFG,41.69,41.74,41.74,41.69,3049,"Timestamp(seconds=1632151440, nanoseconds=0)",57,41.70487
0,b,CFG,41.73,41.725,41.76,41.72,4947,"Timestamp(seconds=1632151500, nanoseconds=0)",60,41.742034
0,b,CFG,41.69,41.73,41.76,41.69,6186,"Timestamp(seconds=1632151560, nanoseconds=0)",97,41.714063
0,b,CFG,41.67,41.72,41.73,41.64,5739,"Timestamp(seconds=1632151740, nanoseconds=0)",92,41.675214
0,b,CFG,41.7,41.59,41.72,41.59,13249,"Timestamp(seconds=1632151800, nanoseconds=0)",141,41.637865
0,b,CFG,41.58,41.6,41.615,41.565,12922,"Timestamp(seconds=1632151860, nanoseconds=0)",168,41.591929
