,T,S,o,c,h,l,v,t,n,vw
0,b,ARE,196.34,196.555,196.555,196.28,4782,"Timestamp(seconds=1632151440, nanoseconds=0)",77,196.397106
0,b,ARE,196.5,196.4,196.5,196.4,1963,"Timestamp(seconds=1632151500, nanoseconds=0)",50,196.452866
0,b,ARE,196.34,196.34,196.36,196.34,1363,"Timestamp(seconds=1632151560, nanoseconds=0)",7,196.342406
0,b,ARE,196.19,196.27,196.3,196.16,1496,"Timestamp(seconds=1632151740, nanoseconds=0)",33,196.228959
0,b,ARE,196.22,195.94,196.22,195.94,2480,"Timestamp(seconds=1632151800, nanoseconds=0)",78,196.131573
0,b,ARE,195.81,195.45,195.81,195.45,1674,"Timestamp(seconds=1632151860, nanoseconds=0)",55,195.645774
