,T,S,o,c,h,l,v,t,n,vw
0,b,JPM,152.63,152.76,152.781,152.6251,15052,"Timestamp(seconds=1632151440, nanoseconds=0)",216,152.702751
0,b,JPM,152.7761,152.73,152.8246,152.73,19315,"Timestamp(seconds=1632151500, nanoseconds=0)",252,152.769408
0,b,JPM,152.7081,152.68,152.82,152.64,15851,"Timestamp(seconds=1632151560, nanoseconds=0)",258,152.73649
0,b,JPM,152.62,152.8,152.84,152.57,19103,"Timestamp(seconds=1632151740, nanoseconds=0)",405,152.656866
0,b,JPM,152.81,152.58,152.82,152.54,24983,"Timestamp(seconds=1632151800, nanoseconds=0)",370,152.685508
0,b,JPM,152.57,152.55,152.61,152.5,35229,"Timestamp(seconds=1632151860, nanoseconds=0)",688,152.534178
