,T,S,o,c,h,l,v,t,n,vw
0,b,MCHP,157.56,157.62,157.62,157.5,8068,"Timestamp(seconds=1632151440, nanoseconds=0)",111,157.52117
0,b,MCHP,157.655,157.6,157.77,157.6,3640,"Timestamp(seconds=1632151500, nanoseconds=0)",64,157.69635
0,b,MCHP,157.64,157.61,157.64,157.61,1234,"Timestamp(seconds=1632151560, nanoseconds=0)",46,157.609652
0,b,MCHP,157.74,158.04,158.04,157.67,2793,"Timestamp(seconds=1632151740, nanoseconds=0)",97,157.788029
0,b,MCHP,158.01,157.7,158.08,157.7,3095,"Timestamp(seconds=1632151800, nanoseconds=0)",91,157.913908
0,b,MCHP,157.67,157.71,157.81,157.65,3400,"Timestamp(seconds=1632151860, nanoseconds=0)",90,157.730711
