,T,S,o,c,h,l,v,t,n,vw
0,b,GLW,37.82,37.8214,37.83,37.82,4762,"Timestamp(seconds=1632151440, nanoseconds=0)",32,37.826731
0,b,GLW,37.83,37.85,37.86,37.83,4496,"Timestamp(seconds=1632151500, nanoseconds=0)",62,37.846742
0,b,GLW,37.84,37.83,37.84,37.82,2734,"Timestamp(seconds=1632151560, nanoseconds=0)",58,37.829738
0,b,GLW,37.795,37.85,37.85,37.785,6144,"Timestamp(seconds=1632151740, nanoseconds=0)",93,37.832688
0,b,GLW,37.84,37.78,37.845,37.78,3405,"Timestamp(seconds=1632151800, nanoseconds=0)",69,37.816727
0,b,GLW,37.785,37.81,37.81,37.785,3477,"Timestamp(seconds=1632151860, nanoseconds=0)",48,37.80049
