,T,S,o,c,h,l,v,t,n,vw
0,b,SO,64.36,64.38,64.39,64.36,2910,"Timestamp(seconds=1632151440, nanoseconds=0)",56,64.379914
0,b,SO,64.38,64.35,64.41,64.35,5059,"Timestamp(seconds=1632151500, nanoseconds=0)",80,64.382777
0,b,SO,64.35,64.3895,64.3895,64.35,1893,"Timestamp(seconds=1632151560, nanoseconds=0)",42,64.375506
0,b,SO,64.36,64.36,64.38,64.34,5397,"Timestamp(seconds=1632151740, nanoseconds=0)",71,64.359027
0,b,SO,64.34,64.31,64.35,64.28,8234,"Timestamp(seconds=1632151800, nanoseconds=0)",96,64.322554
0,b,SO,64.32,64.28,64.325,64.28,4240,"Timestamp(seconds=1632151860, nanoseconds=0)",55,64.297112
