,T,S,o,c,h,l,v,t,n,vw
0,b,DISCK,25.01,24.98,25.01,24.975,11633,"Timestamp(seconds=1632151440, nanoseconds=0)",96,24.982029
0,b,DISCK,24.9895,24.97,25.01,24.97,10440,"Timestamp(seconds=1632151500, nanoseconds=0)",116,24.990156
0,b,DISCK,24.97,25.01,25.01,24.965,5286,"Timestamp(seconds=1632151560, nanoseconds=0)",81,24.988328
0,b,DISCK,24.97,25.0,25.01,24.965,6085,"Timestamp(seconds=1632151560, nanoseconds=0)",97,24.98986
0,b,DISCK,24.98,24.985,24.985,24.96,8782,"Timestamp(seconds=1632151740, nanoseconds=0)",142,24.969968
0,b,DISCK,24.98,24.885,24.98,24.885,14666,"Timestamp(seconds=1632151800, nanoseconds=0)",180,24.925376
0,b,DISCK,24.89,24.8908,24.91,24.8566,15648,"Timestamp(seconds=1632151860, nanoseconds=0)",144,24.874317
