,T,S,o,c,h,l,v,t,n,vw
0,b,CTVA,41.13,41.14,41.15,41.13,1172,"Timestamp(seconds=1632151440, nanoseconds=0)",21,41.138155
0,b,CTVA,41.14,41.14,41.16,41.13,2120,"Timestamp(seconds=1632151500, nanoseconds=0)",30,41.146298
0,b,CTVA,41.14,41.13,41.14,41.13,1248,"Timestamp(seconds=1632151560, nanoseconds=0)",30,41.142271
0,b,CTVA,41.14,41.15,41.15,41.13,1702,"Timestamp(seconds=1632151560, nanoseconds=0)",35,41.144333
0,b,CTVA,41.1,41.15,41.16,41.1,3469,"Timestamp(seconds=1632151740, nanoseconds=0)",55,41.135832
0,b,CTVA,41.14,41.11,41.15,41.11,2261,"Timestamp(seconds=1632151800, nanoseconds=0)",37,41.131008
0,b,CTVA,41.07,41.07,41.07,41.0514,2864,"Timestamp(seconds=1632151860, nanoseconds=0)",43,41.062753
