,T,S,o,c,h,l,v,t,n,vw
0,b,PVH,105.55,105.58,105.58,105.51,785,"Timestamp(seconds=1632151440, nanoseconds=0)",19,105.548038
0,b,PVH,105.58,105.66,105.71,105.58,5188,"Timestamp(seconds=1632151500, nanoseconds=0)",98,105.633691
0,b,PVH,105.605,105.73,105.73,105.605,790,"Timestamp(seconds=1632151560, nanoseconds=0)",18,105.674392
0,b,PVH,105.475,105.76,105.76,105.475,1945,"Timestamp(seconds=1632151740, nanoseconds=0)",44,105.599866
0,b,PVH,105.68,105.37,105.68,105.37,1559,"Timestamp(seconds=1632151800, nanoseconds=0)",38,105.557486
0,b,PVH,105.31,105.34,105.34,105.29,2249,"Timestamp(seconds=1632151860, nanoseconds=0)",72,105.302808
